proposal_id,date_range,source_rate,source_rate_error,source_exposure_s,source_bins,background_rate,background_rate_error,background_exposure_s,background_bins,earth_rate,earth_rate_error,earth_exposure_s,earth_bins,detector_1_rate,detector_2_rate,detector_3_rate,detector_4_rate,modulation_fraction,modulation_fraction_error,modulation_chi2,modulation_dof
P01_0005,20–31 Jan 2024,174.30088832669725,0.03539377800295481,139272.0,139138,171.8437964308456,0.03745497587494966,122681.0,122494,169.17118299713715,0.03340538318512518,151671.0,151598,44.47362714687805,45.11043856625883,45.287739100465274,39.26138060773163,0.01697345907264581,0.00031038412314891254,379.3266757344194,357
T24_0001,2–4 Feb 2024,174.31446662611293,0.06942509413799934,36204.0,36166,174.8637669715514,0.0619313228182303,45656.0,45591,170.74081851036766,0.05871362574936292,49558.0,49529,43.51207048944868,44.87807977019114,44.890757927300854,40.85457408021213,0.013955151738431853,0.0006268473909727673,290.82367670189876,357
T24_0002,13–27 Feb 2024,168.7190846543995,0.02403761770074327,292131.0,291999,168.85211189901725,0.024920584769366934,272135.0,271888,167.12400467977886,0.022956999957801965,317231.0,317109,41.97268348788728,44.06777096576536,43.577319764078446,39.02507436732151,0.012007777569787012,0.00021998279466238355,488.07106868209405,357
